publication_id	publication	time	time_slice_id	type	subfield_id	subdomain_id
394	FINE_1979_N_87	1979	0	ARTICLE	0	2
395	FREEMAN_1979_S_215	1979	0	ARTICLE	3	2
396	FROLAND_1979_C_82	1979	0	ARTICLE	4	4
397	HECKMAN_1979_E_153	1979	0	ARTICLE	4	4
398	HIRSCH_1979_A_263	1979	0	ARTICLE	3	4
399	JICK_1979_A_602	1979	0	ARTICLE	1	0
400	KAHNEMAN_1979_E_263	1979	0	ARTICLE	3	3
401	KARASEK_1979_A_285	1979	0	ARTICLE	1	4
402	KATZ_1979_O_139	1979	0	ARTICLE	1	0
403	KEEFE_1979_H_144	1979	0	ARTICLE	0	4
404	KILLWORT_1979_S_19	1979	0	ARTICLE	2	2
405	KOBASA_1979_J_1	1979	0	ARTICLE	4	4
406	LINCOLN_1979_A_181	1979	0	ARTICLE	1	0
407	LIN_1979_J_108	1979	0	ARTICLE	2	4
408	MARTINSO_1979_J_471	1979	0	ARTICLE	3	2
409	MOKKEN_1979_Q_161	1979	0	ARTICLE	2	2
410	ONCU_1979_I_646	1979	0	ARTICLE	3	0
411	OUCHI_1979_M_833	1979	0	ARTICLE	1	0
412	PATTISON_1979_P_56	1979	0	ARTICLE	4	4
413	PITTS_1979_S_285	1979	0	ARTICLE	1	2
414	SEIDMAN_1979_S_85	1979	0	ARTICLE	2	2
415	SHAMIR_1979_C_612	1979	0	ARTICLE	0	1
416	SHANAS_1979_G_169	1979	0	ARTICLE	4	4
417	SHANAS_1979_G_3	1979	0	ARTICLE	4	4
418	SMITH_1979_T_237	1979	0	ARTICLE	2	2
419	SNYDER_1979_A_1096	1979	0	ARTICLE	3	2
420	STRAUS_1979_J_75	1979	0	ARTICLE	4	3
421	STRICKLA_1979_U_391	1979	0	ARTICLE	1	3
422	TUMA_1979_S_1265	1979	0	ARTICLE	4	2
423	USEEM_1979_A_553	1979	0	ARTICLE	1	0
424	WELLMAN_1979_A_1201	1979	0	ARTICLE	0	3
425	WELLMAN_1979_U_363	1979	0	ARTICLE	0	3
426	WILLIAMS_1979_J_233	1979	0	ARTICLE	1	0
427	WORTMAN_1979_J_120	1979	0	ARTICLE	3	4
428	BELSKY_1980_A_320	1980	0	ARTICLE	1	4
429	BENPORAT_1980_P_1	1980	0	ARTICLE	1	0
430	BENTLER_1980_P_588	1980	0	ARTICLE	3	4
431	BERNARD_1980_S_191	1980	0	ARTICLE	2	2
432	BOORMAN_1980_A_166	1980	0	ARTICLE	3	2
433	BOURDIEU_1980_ACTES_2	1980	0	CHAPTER	1	-1
434	BURT_1980_A_79	1980	0	ARTICLE	2	2
435	BURT_1980_A_892	1980	0	ARTICLE	1	0
436	DAWES_1980_A_169	1980	0	ARTICLE	2	3
437	FAMA_1980_J_288	1980	0	ARTICLE	1	0
438	FOLKMAN_1980_J_219	1980	0	ARTICLE	3	4
